"","X1","title","averageRating","numVotes","genre1","genre2","genre3","runtimeMinutes","titleType","rank","studio","lifetime_gross","year","oscar_year","oscar_win","oscar_nom","actor1","actor2","actor3","actor4","actor5","actor6","actor7","actor8","actor9","actor10"
"834",11740,"The Girlfriend Experience",7.1,7851,"Drama",NA,NA,27,"tvSeries",8436,"Magn.",695840,2009,NA,"No","No","Paul Sparks","Anna Friel","Sabryn Rock","Riley Keough","Mary Lynn Rajskub","Briony Glassco","Louisa Krause","Carmen Ejogo",NA,NA
"835",11745,"The Glass House",8.1,168,"Comedy","Talk-Show",NA,NA,"tvSeries",3658,"Sony",18150259,2001,NA,"No","No","Rhys Muldoon","Alan Brough","Akmal Saleh","Dave Hughes","Amanda Keller","Corinne Grant",NA,NA,NA,NA
"836",11751,"The Godfather",6.9,95,"Action","Drama","Thriller",NA,"tvSeries",441,"Par.",134966411,1972,1972,"Yes","Yes","Sawsan Badr","Ezzat Abu Auf","Mahmood Hemaidah","Farida Saif Al-Nasr","Diab","Ahmed Falawkas","Mohamed Adel","Caroline Azmy",NA,NA
"837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"839",11765,"The Good Doctor",8.2,47937,"Drama",NA,NA,41,"tvSeries",15641,"Magn.",5206,2012,NA,"No","No","Christina Chang","Hill Harper","Nicholas Gonzalez","Paige Spara","Freddie Highmore","Antonia Thomas","Fiona Gubelmann",NA,NA,NA
"840",11781,"The Good Wife",8.3,64127,"Crime","Drama","Mystery",43,"tvSeries",7698,"Atl",1155020,1986,NA,"No","No","Christine Baranski","Josh Charles","Makenzie Vega","Archie Panjabi","Matt Czuchry","Alan Cumming","Julianna Margulies","Chris Noth",NA,NA
"841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"842",11793,"The Grand",7.5,546,"Drama",NA,NA,60,"tvSeries",11172,"Anch.",115879,2008,NA,"No","No","Maria Mescki","Julia St John","Mark McGann","Tim Healy","Rebecca Callard","Christine Mackie",NA,NA,NA,NA
"843",11817,"The Greatest Show on Earth",8.4,93,"Drama","Family",NA,60,"tvSeries",2334,"Par.",3.6e+07,1952,NA,"No","No","Del Graham","Hugh O'Brian","Jack Palance","Joseph V. Perry","Stuart Erwin","Harold J. Stone",NA,NA,NA,NA
"844",11821,"The Green Hornet",7.4,2309,"Action","Crime","Sci-Fi",99,"tvSeries",754,"Sony",98780042,2011,NA,"No","No","Bruce Lee","Ken Strange","Lloyd Gough","Gary Owens","Geoffrey Horne","Walter Brooke",NA,NA,NA,NA
"845",11833,"The Guard",5.2,236,"Drama",NA,NA,60,"tvSeries",5668,"SPC",5360274,2011,NA,"No","No","Zoie Palmer","Gordon Michael Woolvett","Sonya Salomaa","Jeremy Guilbaut","Julie Patzwald","Ryan Robbins","Steve Bacic",NA,NA,NA
"846",11835,"The Guardian",7.4,4394,"Crime","Drama",NA,60,"tvSeries",1531,"BV",55011732,2006,NA,"No","No","Alan Rosenberg","Dabney Coleman","Raphael Sbarge","Kathleen Chalfant","Simon Baker",NA,NA,NA,NA,NA
"847",11854,"The Handmaid's Tale",8.5,138483,"Drama","Sci-Fi","Thriller",60,"tvSeries",5763,"Cinc",4960385,1990,NA,"No","No","Amanda Brugel","Madeline Brewer","Elisabeth Moss","Yvonne Strahovski","Max Minghella","O-T Fagbenle","Nina Kiri",NA,NA,NA
"848",11895,"The Hero",6.8,1324,"Reality-TV",NA,NA,60,"tvSeries",6023,"Orch.",4077333,2017,NA,"No","No","Shaun Ricker","Lydia Callins","Patty O'Neil",NA,NA,NA,NA,NA,NA,NA
"849",11896,"The Hero",8,14,"Comedy",NA,NA,30,"tvSeries",6023,"Orch.",4077333,2017,NA,"No","No","Mariette Hartley","Maureen Arthur","Joey Baio","Charles Aidman",NA,NA,NA,NA,NA,NA
"850",11908,"The Hitchhiker's Guide to the Galaxy",8,9532,"Adventure","Comedy","Sci-Fi",152,"tvSeries",1671,"BV",51085416,2005,NA,"No","No","Richard Vernon","David Dixon","Stephen Moore","David Learner","David Tate","Peter Jones","Mark Wing-Davey",NA,NA,NA
"851",11927,"The Honeymooners",8.6,4283,"Comedy","Family",NA,30,"tvSeries",4337,"Par.",12843849,2005,NA,"No","No","The June Taylor Dancers","Charles Eggleston",NA,NA,NA,NA,NA,NA,NA,NA
"852",11952,"The Human Factor",6.7,7,"Drama",NA,NA,60,"tvSeries",9296,"MGM",376050,1979,NA,"No","No","Kurt Deutsch","Jan Lucas","Don Brunner","Trini Alvarado","Melinda McGraw","Loryn Locklin",NA,NA,NA,NA
"853",11961,"The Hunger",6.3,761,"Drama","Fantasy","Horror",24,"tvSeries",5508,"MGM",5979292,1983,NA,"No","No","Richard Jutras","Terence Stamp","Gillian Ferrabee","Karen Elkin","Kim Feeney","David Bowie",NA,NA,NA,NA
"854",11972,"The Hunter",7.2,5,"Drama",NA,NA,30,"tvSeries",3878,"Par.",16274150,1980,NA,"No","No","Tige Andrews","Hy Anzell","Herb Voland","Carl Don","Alan Stevenson","Steve Gravers",NA,NA,NA,NA
"855",12006,"The Incredible Hulk",6.8,2482,"Action","Adventure","Animation",20,"tvSeries",443,"Uni.",134806913,2008,NA,"No","No","John Vernon","Thom Barry","Matt Frewer","Neal McDonough",NA,NA,NA,NA,NA,NA
"856",12008,"The Incredible Hulk",7,10882,"Action","Adventure","Drama",60,"tvSeries",443,"Uni.",134806913,2008,NA,"No","No","Jack Colvin","Charles Napier","Charlie Picerni",NA,NA,NA,NA,NA,NA,NA
"857",12009,"The Incredible Hulk",6.9,1331,"Action","Adventure","Animation",24,"tvSeries",443,"Uni.",134806913,2008,NA,"No","No","Roberto Cruz","June Foray",NA,NA,NA,NA,NA,NA,NA,NA
"858",12033,"The Innocents",6.3,4623,"Drama","Horror","Mystery",60,"tvSeries",7819,"MBox",1065665,2016,NA,"No","No","Arthur Hughes","Percelle Ascott","Laura Birn","Guy Pearce","Nadine Marshall","Sorcha Groundsell","Jóhannes Haukur Jóhannesson",NA,NA,NA
"859",12035,"The Insider",2.6,383,"News",NA,NA,30,"tvSeries",2773,"BV",29089912,1999,1999,"No","Yes","Louis Aguirre","Michael Yo","Lara Spencer","Kevin Frazier","Keltie Knight","Nina Parker","Tara McNamara",NA,NA,NA
"860",12062,"The Island",6,474,"Drama","Fantasy","Mystery",42,"tvSeries",2346,"DW",35818913,2005,NA,"No","No","Jud Nichols",NA,NA,NA,NA,NA,NA,NA,NA,NA
"861",12099,"The Jungle Book",4.6,78,"Adventure","Animation","Family",11,"tvSeries",401,"Dis.",141843612,1967,NA,"No","No","Sam Gold","Peter Rida Michail","Paul Greenberg","Teresa Gallagher",NA,NA,NA,NA,NA,NA
"862",12105,"The Karate Kid",5,147,"Action","Adventure","Animation",NA,"tvSeries",816,"Col.",91216087,1984,NA,"No","No","Joey Dedio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"863",12106,"The Karate Kid",5,147,"Action","Adventure","Animation",NA,"tvSeries",268,"Sony",176591618,2010,NA,"No","No","Joey Dedio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"864",12117,"The Kids Are All Right",5.7,21,"Family","Game-Show",NA,40,"tvSeries",3398,"Focus",20811365,2010,2010,"No","Yes","John Barrowman",NA,NA,NA,NA,NA,NA,NA,NA,NA
"865",12159,"The Land Before Time",6.4,571,"Adventure","Animation","Drama",23,"tvSeries",1772,"Uni.",48092846,1988,NA,"No","No","Rob Paulsen","John Ingle","Anndi McAfee","Jeff Bennett","Max Burkholder","Meghan Strange",NA,NA,NA,NA
"866",12212,"The Last Tycoon",7.8,4033,"Drama",NA,NA,61,"tvSeries",7070,"Par.",1819912,1976,NA,"No","No","Dominique McElligott","Rosemarie DeWitt","Koen De Bouw","Matt Bomer","Kelsey Grammer","Bailey Noble",NA,NA,NA,NA
"867",12235,"The Legend of Tarzan",6.8,2057,"Adventure","Animation","Family",30,"tvSeries",501,"WB",126643061,2016,NA,"No","No","April Winchell","Rene Auberjonois","Joe Flaherty","Susanne Blakeslee","Frank Welker","Nicollette Sheridan","Jim Cummings","Jeff Bennett",NA,NA
"868",12261,"The Little Mermaid",6.8,3357,"Adventure","Animation","Drama",25,"tvSeries",613,"BV",111543479,1989,NA,"No","No","Jim Cummings","Kath Soucie","Jodi Benson","Edan Gross","Anndi McAfee","Samuel E. Wright",NA,NA,NA,NA
"869",12265,"The Little Rascals",6,47,"Animation","Comedy","Family",30,"tvSeries",1628,"Uni.",52125282,1994,NA,"No","No","Jered Barclay","Peter Cullen","Julie McWhirter","Julie Bennett","Patty Maloney","Brian Cummings","B.J. Ward",NA,NA,NA
"870",12269,"The Little Vampire",7.3,334,"Family","Horror",NA,25,"tvSeries",4239,"NL",13572400,2000,NA,"No","No","Marsha Moreau","Michael Hogan","Susan Hogan","Jim Gray","Gert Fröbe","Joel Dacks","Michael Gough",NA,NA,NA
